[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 60 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 196 bytes
[21:24:50] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:50] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 159 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 60 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 219 bytes
[21:24:50] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 120 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 914 bytes
[21:24:50] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 898 bytes
[21:24:50] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 108 bytes
[21:24:50] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 102 bytes
[21:24:50] TCP | 20.207.73.85 -> 192.168.0.100 | Ports 443 -> 50311 | Size: 60 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 899 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 60 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 223 bytes
[21:24:50] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 237 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 120 bytes
[21:24:50] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 234 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 1136 bytes
[21:24:50] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:50] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 104 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 1466 bytes
[21:24:50] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 775 bytes
[21:24:50] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 247 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 60 bytes
[21:24:50] TCP | 151.101.38.172 -> 192.168.0.100 | Ports 443 -> 49810 | Size: 1494 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 268 bytes
[21:24:50] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 271 bytes
[21:24:50] TCP | 140.82.112.22 -> 192.168.0.100 | Ports 443 -> 50310 | Size: 643 bytes
[21:24:50] TCP | 192.168.0.100 -> 140.82.112.22 | Ports 50310 -> 443 | Size: 54 bytes
[21:24:50] TCP | 192.168.0.100 -> 140.82.112.22 | Ports 50310 -> 443 | Size: 78 bytes
[21:24:50] TCP | 192.168.0.100 -> 140.82.112.22 | Ports 50310 -> 443 | Size: 54 bytes
[21:24:50] TCP | 192.168.0.100 -> 151.101.38.172 | Ports 49810 -> 443 | Size: 54 bytes
[21:24:50] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 104 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 60 bytes
[21:24:50] TCP | 151.101.38.172 -> 192.168.0.100 | Ports 443 -> 49810 | Size: 1494 bytes
[21:24:50] TCP | 192.168.0.100 -> 151.101.38.172 | Ports 49810 -> 443 | Size: 54 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 269 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 1252 bytes
[21:24:50] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 1253 bytes
